tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,sentiment,weighted_score,features
tt0567154,tvEpisode,Dr. Jekyll and Mr. Duke,Dr. Jekyll and Mr. Duke,0,1984.0,49.0,"Action,Comedy",7.9,114,0.0,7.090588662790698,Action Comedy 1984.0
tt0847785,tvEpisode,Like It Was,Like It Was,0,2006.0,43.0,"Comedy,Drama,Mystery",8.1,405,0.0,7.475204336093137,Comedy Drama Mystery 2006.0
tt6852622,tvEpisode,Crickets,Crickets,0,2017.0,23.0,"Comedy,Reality-TV",7.9,75,0.0,7.026558151327894,Comedy Reality-TV 2017.0
tt4148174,tvEpisode,Sabertooth,Sabertooth,0,2012.0,25.0,"Action,Adventure,Animation",7.8,39,0.0,6.949219187318713,Action Adventure Animation 2012.0
tt6036624,tvEpisode,Creepers,Creepers,0,2017.0,42.0,"Comedy,Crime",6.8,71,0.0,6.859699731297856,Comedy Crime 2017.0
tt0667857,tvEpisode,Abaddon,Abaddon,0,2000.0,44.0,"Drama,Fantasy,Horror",6.5,111,0.0,6.792236613619378,Drama Fantasy Horror 2000.0
tt2801182,tvEpisode,"Adventures of Huckleberry Finn, Part IV","Adventures of Huckleberry Finn, Part IV",0,1986.0,30.0,"Comedy,Drama,Romance",8.0,6,0.0,6.885832944822291,Comedy Drama Romance 1986.0
tt2253400,tvEpisode,Just Dance,Just Dance,0,2012.0,30.0,"Comedy,Documentary",9.8,15,0.0,6.9713468097105125,Comedy Documentary 2012.0
tt0602354,tvEpisode,Klink vs. the Gonculator,Klink vs. the Gonculator,0,1968.0,30.0,"Comedy,War",8.6,108,0.0,7.225082069590592,Comedy War 1968.0
tt2382804,tvEpisode,Miracle in the Marshes of Iraq,Miracle in the Marshes of Iraq,0,2011.0,60.0,Documentary,8.3,14,0.0,6.916187890288545,Documentary 2011.0
tt1250316,tvEpisode,Jobs for the Boys,Jobs for the Boys,0,1982.0,54.0,Drama,7.9,46,0.0,6.9719680357858875,Drama 1982.0
tt0750263,tvEpisode,The Deadly Dolphin,The Deadly Dolphin,0,1978.0,43.0,"Action,Adventure,Drama",7.5,89,-0.2,6.980459898628504,Action Adventure Drama 1978.0
tt0700783,tvEpisode,Menudo Madness,Menudo Madness,0,1983.0,30.0,"Comedy,Family",7.3,35,0.0,6.903075427383337,Comedy Family 1983.0
tt0173022,short,Portret mezczyzny z medalem,Portret mezczyzny z medalem,0,1959.0,13.0,Short,7.2,13,0.0,6.879798535045595,Short 1959.0
tt1306152,tvEpisode,Jason Gedrick,Jason Gedrick,0,1998.0,30.0,"Comedy,News,Talk-Show",4.5,8,0.0,6.825336076536741,Comedy News Talk-Show 1998.0
tt0786946,video,Brave Heart 2,Brave Heart 2,0,2005.0,30.0,Drama,5.1,12,0.8,6.820449229313144,Drama 2005.0
tt9197114,tvEpisode,"Short Marriage, Long Wedding Debt!/Jeweler Shares Business Secret!","Short Marriage, Long Wedding Debt!/Jeweler Shares Business Secret!",0,2018.0,30.0,"Crime,Reality-TV",7.6,5,-0.18333333333333335,6.878470847765134,Crime Reality-TV 2018.0
tt8528008,tvEpisode,Beautiful Dream: Daybreak,Beautiful Dream: Daybreak,0,2018.0,24.0,"Action,Animation,Drama",8.6,126,0.85,7.27057567758208,Action Animation Drama 2018.0
tt0299981,tvMovie,Highlander: The Source,Highlander: The Source,0,2007.0,86.0,"Action,Adventure,Drama",3.1,8855,0.0,3.269933480923612,Action Adventure Drama 2007.0
tt3251302,tvEpisode,Episode #1.7,Episode #1.7,0,1994.0,44.0,Comedy,4.6,16,0.0,6.786159374665096,Comedy 1994.0
tt2035462,movie,Being Bin Laden,Being Bin Laden,0,2011.0,30.0,Comedy,4.8,23,0.0,6.761889271212361,Comedy 2011.0
tt8365106,tvEpisode,Episode #1.2,Episode #1.2,0,2018.0,30.0,Reality-TV,8.6,5,0.0,6.890291178734401,Reality-TV 2018.0
tt0361607,tvMovie,"Fatou, l'espoir","Fatou, l'espoir",0,2003.0,90.0,Drama,5.8,23,0.0,6.8140434662236995,Drama 2003.0
tt0748656,tvEpisode,Identity,Identity,0,2005.0,43.0,"Drama,Family,Romance",7.6,28,0.0,6.915679750234645,Drama Family Romance 2005.0
tt7559132,tvEpisode,Episode #1.6,Episode #1.6,0,2017.0,30.0,Reality-TV,7.0,12,0.0,6.873472485127096,Reality-TV 2017.0
tt7764596,tvEpisode,And the Nurses Get Screwed,And the Nurses Get Screwed,0,2018.0,44.0,Drama,7.9,494,0.0,7.427843386627908,Drama 2018.0
tt0103488,tvSeries,Martin,Martin,0,1992.0,30.0,"Comedy,Drama,Romance",7.4,7173,0.0,7.37080663530558,Comedy Drama Romance 1992.0
tt0397702,tvMovie,Unseen + Untold: The Blues Brothers,Unseen + Untold: The Blues Brothers,0,2004.0,60.0,Documentary,8.1,9,0.0,6.895768544741573,Documentary 2004.0
tt0565607,tvEpisode,Burglary: The Son,Burglary: The Son,0,1970.0,30.0,"Crime,Drama,Mystery",7.4,41,0.0,6.9171964457617685,Crime Drama Mystery 1970.0
